iso_code,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,life_expectancy
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,101,0,0,3,0,0,945.994,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,103,2,0.286,3,0,0,964.727,18.733,2.676,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,103,0,0.286,3,0,0,964.727,0,2.676,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,103,0,0.286,3,0,0,964.727,0,2.676,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,104,1,0.429,3,0,0,974.093,9.366,4.014,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,104,0,0.429,3,0,0,974.093,0,4.014,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,105,1,0.571,3,0,0,983.459,9.366,5.352,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,105,0,0.571,3,0,0,983.459,0,5.352,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,105,0,0.286,3,0,0,983.459,0,2.676,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,105,0,0.286,3,0,0,983.459,0,2.676,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,105,0,0.286,3,0,0,983.459,0,2.676,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,105,0,0.143,3,0,0,983.459,0,1.338,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,105,0,0.143,3,0,0,983.459,0,1.338,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,105,0,0,3,0,0,983.459,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,105,0,0,3,0,0,983.459,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,105,0,0,3,0,0,983.459,0,0,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,106,1,0.143,3,0,0,992.825,9.366,1.338,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,106,0,0.143,3,0,0,992.825,0,1.338,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,108,2,0.429,3,0,0,1011.558,18.733,4.014,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,108,0,0.429,3,0,0,1011.558,0,4.014,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,108,0,0.429,3,0,0,1011.558,0,4.014,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,113,5,1.143,3,0,0,1058.389,46.831,10.704,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,115,2,1.429,3,0,0,1077.122,18.733,13.38,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,117,2,1.571,3,0,0,1095.854,18.733,14.718,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,117,0,1.571,3,0,0,1095.854,0,14.718,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,117,0,1.286,3,0,0,1095.854,0,12.042,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,118,1,1.429,3,0,0,1105.221,9.366,13.38,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,119,1,1.571,3,0,0,1114.587,9.366,14.718,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,119,0,0.857,3,0,0,1114.587,0,8.028,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,119,0,0.571,3,0,0,1114.587,0,5.352,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,119,0,0.286,3,0,0,1114.587,0,2.676,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,119,0,0.286,3,0,0,1114.587,0,2.676,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,120,1,0.429,3,0,0,1123.953,9.366,4.014,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,121,1,0.429,3,0,0,1133.32,9.366,4.014,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,121,0,0.286,3,0,0,1133.32,0,2.676,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,122,1,0.429,3,0,0,1142.686,9.366,4.014,28.099,0,0,32.41,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,124,2,0.714,3,0,0,1161.418,18.733,6.69,28.099,0,0,43.52,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,132,8,1.857,3,0,0,1236.349,74.93,17.395,28.099,0,0,43.52,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,171,39,7.429,3,0,0,1601.633,365.285,69.578,28.099,0,0,43.52,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,263,92,20.429,3,0,0,2463.331,861.698,191.34,28.099,0,0,47.22,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,396,133,39.286,3,0,0,3709.046,1245.715,367.961,28.099,0,0,47.22,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
